Member_number,Date,Is_Weekend,itemDescription,Category
1808,2015-07-21,False,tropical fruit,Produce
2552,2015-01-05,False,whole milk,Dairy
2300,2015-09-19,True,pip fruit,Produce
1187,2015-12-12,True,other vegetables,Produce
3037,2015-02-01,True,whole milk,Dairy
4941,2015-02-14,True,rolls/buns,Bakery
4501,2015-05-08,False,other vegetables,Produce
3803,2015-12-23,False,pot plants,Other
2762,2015-03-20,False,whole milk,Dairy
4119,2015-02-12,False,tropical fruit,Produce
1340,2015-02-24,False,citrus fruit,Produce
2193,2015-04-14,False,beef,Meat
1997,2015-07-21,False,frankfurter,Other
4546,2015-09-03,False,chicken,Meat
4736,2015-07-21,False,butter,Other
1959,2015-03-30,False,fruit/vegetable juice,Produce
1974,2015-05-03,True,packaged fruit/vegetables,Produce
2421,2015-09-02,False,chocolate,Other
1513,2015-08-03,False,specialty bar,Other
1905,2015-07-07,False,other vegetables,Produce
2810,2015-09-08,False,butter milk,Dairy
2867,2015-11-12,False,whole milk,Dairy
3962,2015-09-18,False,tropical fruit,Produce
1088,2015-11-30,False,tropical fruit,Produce
4976,2015-07-17,False,bottled water,Beverages
4056,2015-06-12,False,yogurt,Dairy
3611,2015-02-13,False,sausage,Meat
1420,2015-01-14,False,other vegetables,Produce
4286,2015-03-08,True,brown bread,Bakery
4918,2015-01-27,False,yogurt,Dairy
4783,2015-10-22,False,hamburger meat,Other
3709,2015-10-26,False,root vegetables,Produce
4289,2015-10-08,False,pork,Meat
1559,2015-10-03,True,beef,Meat
2900,2015-04-11,True,pastry,Bakery
1905,2015-02-21,True,fruit/vegetable juice,Produce
3527,2015-09-29,False,canned beer,Beverages
1495,2015-01-09,False,root vegetables,Produce
3558,2015-04-03,False,citrus fruit,Produce
3128,2015-04-20,False,sausage,Meat
1863,2015-08-04,False,tropical fruit,Produce
3841,2015-07-19,True,berries,Other
3903,2015-10-06,False,canned beer,Beverages
2658,2015-10-16,False,butter milk,Dairy
4272,2015-06-06,True,coffee,Other
1120,2015-09-26,True,pastry,Bakery
2676,2015-08-15,True,rolls/buns,Bakery
1697,2015-05-21,False,misc. beverages,Other
2507,2015-08-25,False,root vegetables,Produce
4620,2015-03-11,False,sausage,Meat
3365,2015-02-01,True,canned beer,Beverages
