Member_number,Date,itemDescription,Day,Day_Name,Month,Is_Weekend
1808,2015-07-21,tropical fruit,Tuesday,Tuesday,July,False
2552,2015-01-05,whole milk,Monday,Monday,January,False
2300,2015-09-19,pip fruit,Saturday,Saturday,September,True
1187,2015-12-12,other vegetables,Saturday,Saturday,December,True
3037,2015-02-01,whole milk,Sunday,Sunday,February,True
4941,2015-02-14,rolls/buns,Saturday,Saturday,February,True
4501,2015-05-08,other vegetables,Friday,Friday,May,False
3803,2015-12-23,pot plants,Wednesday,Wednesday,December,False
2762,2015-03-20,whole milk,Friday,Friday,March,False
4119,2015-02-12,tropical fruit,Thursday,Thursday,February,False
1340,2015-02-24,citrus fruit,Tuesday,Tuesday,February,False
2193,2015-04-14,beef,Tuesday,Tuesday,April,False
1997,2015-07-21,frankfurter,Tuesday,Tuesday,July,False
4546,2015-09-03,chicken,Thursday,Thursday,September,False
4736,2015-07-21,butter,Tuesday,Tuesday,July,False
1959,2015-03-30,fruit/vegetable juice,Monday,Monday,March,False
1974,2015-05-03,packaged fruit/vegetables,Sunday,Sunday,May,True
2421,2015-09-02,chocolate,Wednesday,Wednesday,September,False
1513,2015-08-03,specialty bar,Monday,Monday,August,False
1905,2015-07-07,other vegetables,Tuesday,Tuesday,July,False
2810,2015-09-08,butter milk,Tuesday,Tuesday,September,False
2867,2015-11-12,whole milk,Thursday,Thursday,November,False
3962,2015-09-18,tropical fruit,Friday,Friday,September,False
1088,2015-11-30,tropical fruit,Monday,Monday,November,False
4976,2015-07-17,bottled water,Friday,Friday,July,False
4056,2015-06-12,yogurt,Friday,Friday,June,False
3611,2015-02-13,sausage,Friday,Friday,February,False
1420,2015-01-14,other vegetables,Wednesday,Wednesday,January,False
4286,2015-03-08,brown bread,Sunday,Sunday,March,True
4918,2015-01-27,yogurt,Tuesday,Tuesday,January,False
4783,2015-10-22,hamburger meat,Thursday,Thursday,October,False
3709,2015-10-26,root vegetables,Monday,Monday,October,False
4289,2015-10-08,pork,Thursday,Thursday,October,False
1559,2015-10-03,beef,Saturday,Saturday,October,True
2900,2015-04-11,pastry,Saturday,Saturday,April,True
1905,2015-02-21,fruit/vegetable juice,Saturday,Saturday,February,True
3527,2015-09-29,canned beer,Tuesday,Tuesday,September,False
1495,2015-01-09,root vegetables,Friday,Friday,January,False
3558,2015-04-03,citrus fruit,Friday,Friday,April,False
3128,2015-04-20,sausage,Monday,Monday,April,False
1863,2015-08-04,tropical fruit,Tuesday,Tuesday,August,False
3841,2015-07-19,berries,Sunday,Sunday,July,True
3903,2015-10-06,canned beer,Tuesday,Tuesday,October,False
2658,2015-10-16,butter milk,Friday,Friday,October,False
4272,2015-06-06,coffee,Saturday,Saturday,June,True
1120,2015-09-26,pastry,Saturday,Saturday,September,True
2676,2015-08-15,rolls/buns,Saturday,Saturday,August,True
1697,2015-05-21,misc. beverages,Thursday,Thursday,May,False
2507,2015-08-25,root vegetables,Tuesday,Tuesday,August,False
4620,2015-03-11,sausage,Wednesday,Wednesday,March,False
3365,2015-02-01,canned beer,Sunday,Sunday,February,True
2978,2015-06-05,ham,Friday,Friday,June,False
2910,2015-07-28,turkey,Tuesday,Tuesday,July,False
1061,2015-09-05,whole milk,Saturday,Saturday,September,True
3276,2015-04-03,whole milk,Friday,Friday,April,False
1326,2015-06-19,packaged fruit/vegetables,Friday,Friday,June,False
3023,2015-07-28,rolls/buns,Tuesday,Tuesday,July,False
2185,2015-10-11,ham,Sunday,Sunday,October,True
3552,2015-06-16,rolls/buns,Tuesday,Tuesday,June,False
1967,2015-01-20,other vegetables,Tuesday,Tuesday,January,False
4708,2015-03-20,sausage,Friday,Friday,March,False
2874,2015-02-15,sausage,Sunday,Sunday,February,True
4177,2015-04-13,frankfurter,Monday,Monday,April,False
1663,2015-02-07,rolls/buns,Saturday,Saturday,February,True
2632,2015-03-02,whole milk,Monday,Monday,March,False
1377,2015-03-14,curd cheese,Saturday,Saturday,March,True
4162,2015-12-22,red/blush wine,Tuesday,Tuesday,December,False
2270,2015-07-01,sausage,Wednesday,Wednesday,July,False
4829,2015-11-03,tropical fruit,Tuesday,Tuesday,November,False
3811,2015-04-14,red/blush wine,Tuesday,Tuesday,April,False
4766,2015-09-29,whole milk,Tuesday,Tuesday,September,False
2436,2015-04-12,frankfurter,Sunday,Sunday,April,True
3860,2015-05-05,whole milk,Tuesday,Tuesday,May,False
4875,2015-05-12,frozen potato products,Tuesday,Tuesday,May,False
1587,2015-07-01,other vegetables,Wednesday,Wednesday,July,False
4038,2015-07-08,citrus fruit,Wednesday,Wednesday,July,False
4750,2015-09-21,flour,Monday,Monday,September,False
1199,2015-12-10,sugar,Thursday,Thursday,December,False
1603,2015-09-30,frozen meals,Wednesday,Wednesday,September,False
3111,2015-01-31,chocolate,Saturday,Saturday,January,True
3894,2015-12-13,root vegetables,Sunday,Sunday,December,True
1456,2015-09-18,root vegetables,Friday,Friday,September,False
2022,2015-03-04,herbs,Wednesday,Wednesday,March,False
2505,2015-11-30,bottled water,Monday,Monday,November,False
4851,2015-12-20,sausage,Sunday,Sunday,December,True
4293,2015-08-04,coffee,Tuesday,Tuesday,August,False
2775,2015-11-06,pork,Friday,Friday,November,False
3693,2015-02-18,berries,Wednesday,Wednesday,February,False
1202,2015-07-22,soda,Wednesday,Wednesday,July,False
3699,2015-08-23,berries,Sunday,Sunday,August,True
4152,2015-04-15,fruit/vegetable juice,Wednesday,Wednesday,April,False
4155,2015-01-26,citrus fruit,Monday,Monday,January,False
4010,2015-12-29,pork,Tuesday,Tuesday,December,False
4389,2015-10-20,detergent,Tuesday,Tuesday,October,False
3746,2015-08-17,grapes,Monday,Monday,August,False
2560,2015-05-17,sausage,Sunday,Sunday,May,True
1503,2015-07-25,chicken,Saturday,Saturday,July,True
2555,2015-12-23,whole milk,Wednesday,Wednesday,December,False
3645,2015-12-12,citrus fruit,Saturday,Saturday,December,True
3886,2015-09-11,soda,Friday,Friday,September,False
2932,2015-03-20,sausage,Friday,Friday,March,False
1711,2015-06-18,frankfurter,Thursday,Thursday,June,False
4291,2015-12-08,sausage,Tuesday,Tuesday,December,False
1143,2015-04-25,soda,Saturday,Saturday,April,True
4564,2015-07-08,rolls/buns,Wednesday,Wednesday,July,False
3337,2015-05-14,beef,Thursday,Thursday,May,False
4931,2015-05-04,whole milk,Monday,Monday,May,False
2623,2015-10-10,processed cheese,Saturday,Saturday,October,True
4581,2015-04-03,tropical fruit,Friday,Friday,April,False
2635,2015-06-11,frankfurter,Thursday,Thursday,June,False
1095,2015-10-30,packaged fruit/vegetables,Friday,Friday,October,False
2990,2015-05-23,whole milk,Saturday,Saturday,May,True
2426,2015-06-05,berries,Friday,Friday,June,False
4555,2015-11-07,citrus fruit,Saturday,Saturday,November,True
3635,2015-09-04,tropical fruit,Friday,Friday,September,False
3058,2015-05-18,hamburger meat,Monday,Monday,May,False
4391,2015-03-26,hamburger meat,Thursday,Thursday,March,False
1306,2015-06-23,whole milk,Tuesday,Tuesday,June,False
1024,2015-08-10,fish,Monday,Monday,August,False
1295,2015-07-23,frankfurter,Thursday,Thursday,July,False
1661,2015-06-01,packaged fruit/vegetables,Monday,Monday,June,False
4591,2015-05-15,pastry,Friday,Friday,May,False
3169,2015-06-14,other vegetables,Sunday,Sunday,June,True
3915,2015-05-21,misc. beverages,Thursday,Thursday,May,False
1127,2015-01-14,frankfurter,Wednesday,Wednesday,January,False
4828,2015-08-08,sparkling wine,Saturday,Saturday,August,True
3683,2015-06-10,specialty bar,Wednesday,Wednesday,June,False
1971,2015-09-18,sausage,Friday,Friday,September,False
3014,2015-11-11,curd cheese,Wednesday,Wednesday,November,False
3779,2015-09-15,frankfurter,Tuesday,Tuesday,September,False
2489,2015-05-04,whole milk,Monday,Monday,May,False
3564,2015-06-27,newspapers,Saturday,Saturday,June,True
4092,2015-09-30,berries,Wednesday,Wednesday,September,False
3221,2015-01-13,curd,Tuesday,Tuesday,January,False
1279,2015-09-06,tropical fruit,Sunday,Sunday,September,True
2581,2015-08-22,soda,Saturday,Saturday,August,True
2295,2015-02-25,rolls/buns,Wednesday,Wednesday,February,False
4760,2015-02-22,canned beer,Sunday,Sunday,February,True
3649,2015-01-16,canned beer,Friday,Friday,January,False
1075,2015-11-19,frankfurter,Thursday,Thursday,November,False
3987,2015-08-19,other vegetables,Wednesday,Wednesday,August,False
4106,2015-08-25,whole milk,Tuesday,Tuesday,August,False
4338,2015-06-24,whole milk,Wednesday,Wednesday,June,False
4166,2015-11-06,citrus fruit,Friday,Friday,November,False
1211,2015-03-10,frankfurter,Tuesday,Tuesday,March,False
3954,2015-01-21,frankfurter,Wednesday,Wednesday,January,False
3928,2015-07-18,butter milk,Saturday,Saturday,July,True
3827,2015-09-30,hamburger meat,Wednesday,Wednesday,September,False
4699,2015-02-08,pasta,Sunday,Sunday,February,True
4747,2015-06-08,other vegetables,Monday,Monday,June,False
3028,2015-06-09,sausage,Tuesday,Tuesday,June,False
2851,2015-03-16,rolls/buns,Monday,Monday,March,False
4417,2015-02-25,grapes,Wednesday,Wednesday,February,False
3822,2015-03-07,root vegetables,Saturday,Saturday,March,True
2288,2015-05-31,coffee,Sunday,Sunday,May,True
2184,2015-06-30,popcorn,Tuesday,Tuesday,June,False
4554,2015-08-27,whole milk,Thursday,Thursday,August,False
3361,2015-03-05,tropical fruit,Thursday,Thursday,March,False
2999,2015-04-17,beef,Friday,Friday,April,False
2614,2015-06-25,whole milk,Thursday,Thursday,June,False
4064,2015-06-05,frankfurter,Friday,Friday,June,False
3567,2015-10-04,tropical fruit,Sunday,Sunday,October,True
2587,2015-05-07,canned beer,Thursday,Thursday,May,False
3783,2015-06-17,finished products,Wednesday,Wednesday,June,False
1923,2015-02-14,beverages,Saturday,Saturday,February,True
4835,2015-02-19,hamburger meat,Thursday,Thursday,February,False
1514,2015-08-24,whole milk,Monday,Monday,August,False
3154,2015-06-22,finished products,Monday,Monday,June,False
1313,2015-12-25,other vegetables,Friday,Friday,December,False
2794,2015-07-18,ham,Saturday,Saturday,July,True
2359,2015-04-09,other vegetables,Thursday,Thursday,April,False
2238,2015-03-09,curd,Monday,Monday,March,False
3795,2015-01-17,bottled beer,Saturday,Saturday,January,True
3724,2015-11-26,curd,Thursday,Thursday,November,False
1152,2015-03-05,whole milk,Thursday,Thursday,March,False
4559,2015-03-16,whole milk,Monday,Monday,March,False
3922,2015-02-27,dessert,Friday,Friday,February,False
1709,2015-04-22,sausage,Wednesday,Wednesday,April,False
2219,2015-04-17,other vegetables,Friday,Friday,April,False
2206,2015-10-17,ham,Saturday,Saturday,October,True
1752,2015-04-06,other vegetables,Monday,Monday,April,False
3942,2015-11-10,other vegetables,Tuesday,Tuesday,November,False
3296,2015-08-17,soda,Monday,Monday,August,False
2257,2015-02-05,herbs,Thursday,Thursday,February,False
4313,2015-07-28,frankfurter,Tuesday,Tuesday,July,False
2001,2015-08-21,rolls/buns,Friday,Friday,August,False
2449,2015-07-08,curd,Wednesday,Wednesday,July,False
4914,2015-04-12,frankfurter,Sunday,Sunday,April,True
2764,2015-07-24,other vegetables,Friday,Friday,July,False
4187,2015-05-09,dog food,Saturday,Saturday,May,True
1392,2015-04-20,specialty bar,Monday,Monday,April,False
3427,2015-04-28,curd,Tuesday,Tuesday,April,False
